#threads,exec_time,speedup
1S,0.044518,1
1,0.044480,1.000854
2,0.024608,1.809086
3,0.018792,2.368986
4,0.020663,2.154479
5,0.016215,2.745482
6,0.017375,2.562187
7,0.017944,2.480940
8,0.016290,2.732842
