#threads,exec_time,speedup
1S,0.051074,1
1,0.051377,.994102
2,0.030855,1.655290
3,0.022979,2.222638
4,0.024246,2.106491
5,0.023936,2.133773
6,0.022015,2.319963
7,0.020790,2.456661
8,0.021440,2.382182
