#threads,exec_time,speedup
1S,0.207302,1
1,0.207543,.998838
2,0.121616,1.704561
3,0.091355,2.269191
4,0.097396,2.128444
5,0.082174,2.522720
6,0.075453,2.747432
7,0.076247,2.718821
8,0.075088,2.760787
