#threads,exec_time,speedup
1S,0.735671,1
1,0.731458,1.005759
2,0.386781,1.902035
3,0.273639,2.688472
4,0.228965,3.213028
5,0.231082,3.183592
6,0.209418,3.512931
7,0.218877,3.361116
8,0.220713,3.333156
