#threads,exec_time,speedup
1S,0.060472,1
1,0.029806,2.028853
2,0.016851,3.588629
3,0.012577,4.808141
4,0.013170,4.591647
5,0.011558,5.232047
6,0.012244,4.938908
7,0.011827,5.113046
8,0.008541,7.080201
