#threads,exec_time,speedup
1S,0.030658,1
1,0.031347,.978020
2,0.021195,1.446473
3,0.015147,2.024031
4,0.016273,1.883979
5,0.013404,2.287227
6,0.014122,2.170938
7,0.013648,2.246336
8,0.014009,2.188450
