#threads,exec_time,speedup
1S,0.026351,1
1,0.027045,.974339
2,0.016791,1.569352
3,0.013372,1.970610
4,0.011982,2.199215
5,0.011175,2.358031
6,0.012732,2.069666
7,0.011909,2.212696
8,0.011416,2.308251
