#threads,exec_time,speedup
1S,3.534639,1
1,3.529125,1.001562
2,1.915424,1.845355
3,1.563897,2.260148
4,1.960391,1.803027
5,1.187422,2.976733
6,2.004741,1.763139
7,1.417342,2.493850
8,2.367653,1.492887
