#threads,exec_time,speedup
1S,0.036698,1
1,0.036974,.992535
2,0.021368,1.717427
3,0.014975,2.450617
4,0.015409,2.381595
5,0.015672,2.341628
6,0.014806,2.478589
7,0.013973,2.626350
8,0.012367,2.967413
